,Unnamed: 0,Name,Gender,Time,Text
0,0,Speaker 1,F,00:01:25,participation worry
1,1,Speaker 2,F,00:03:52,live
2,2,Speaker 3,F,00:03:53,live
3,3,Speaker 4,F,00:03:55,live partner cat
4,4,Speaker 5,M,00:03:58,live partner cat
5,5,Speaker 1,F,00:04:02,live partner sadly cat
6,6,Speaker 3,F,00:04:52,important home time space home
7,7,Speaker 5,M,00:05:11,mind feel case feel bad knocking day checking
8,8,Speaker 3,F,00:05:28,child phone
9,9,Speaker 5,M,00:05:30,
10,10,Speaker 1,F,00:05:30,biggest fear child people stay inmy home rob poorly die living room laugh
11,11,Speaker 3,F,00:05:44,lucky intercom post flat benefit happen straight medical hope confidence daughter 10 day
12,12,Speaker 3,F,00:06:02,telly chair
13,13,Speaker 1,F,00:06:21,lot people dress brush hair behaviour nice people
14,14,Speaker 3,F,00:06:33,hard bye bye
15,15,Speaker 2,F,00:06:38,work home time put work clothes allowed visit totally working home time dressed sort dressed put nice top brush hair zoom meeting
16,16,Speaker 5,M,00:07:01,shaving
17,17,Speaker 2,F,00:07:02,pyjama raining dressed
18,18,Speaker 3,F,00:07:08,young age spend life impress people people fit lose identity dressed mine professional person
19,19,Speaker 2,F,00:07:26,surprise
20,20,Speaker 2,F,00:07:32,living independently worked care home devon county care home 52 bed lounge separate floor size chair corner normal sized tv ve year ago front room big people staring space sight hate thought happen horrendous
21,21,Speaker 1,F,00:08:17,idea eat food eat give school dinner plate enjoy choice position buy food cook food scare spend end life slop plate
22,22,Speaker 5,M,00:08:41,tapioca
23,23,Speaker 2,F,00:08:43,existing
24,24,Speaker 1,F,00:08:46,joy joy life left worry weight anymore eat inspiring
25,25,Speaker 2,F,00:08:57,enjoy food
26,26,Speaker 1,F,00:09:01,left
27,27,Speaker 2,F,00:09:03,walk
28,28,Speaker 4,F,00:09:08,man living door hundred support family slowing falling lot sits eat food family bit lost
29,29,Speaker 1,F,00:09:35,sort thing
30,30,Speaker 4,F,00:09:37,family good hospital operation time asked daughter dinner change
31,31,Speaker 5,M,00:11:19,gardening green space older feed bird stuff
32,32,Speaker 2,F,00:11:34,mary poppins sing head uh uh
33,33,Speaker 2,F,00:11:52,uh exercise walk problem leg ten year time sister mom
34,34,Speaker 1,F,00:12:11,agree don dancing long people hazel chronological age seated exercise kind exercise piece paper age made assumption physically
35,35,Speaker 2,F,00:12:39,pigeonholed
36,36,Speaker 5,M,00:12:45,walking countryside walking
37,37,Speaker 2,F,00:12:51,cycling
38,38,Speaker 3,F,00:12:53,bike year
39,39,Speaker 4,F,00:12:54,bike riding
40,40,Speaker 5,M,00:12:57,flat plymouth
41,41,Speaker 2,F,00:12:59,electric bike today make easier
42,42,Speaker 3,F,00:13:08,10 year scooter
43,43,Speaker 1,F,00:13:11,miss walking
44,44,Speaker 3,F,00:13:15,walk
45,45,Speaker 1,F,00:13:16,miss
46,46,Speaker 3,F,00:13:18,miss bulge spine vertebraes starting crumble pinch nerve leg give fall floor daughter week barbican hooe minute sit bus stop bus wanted home suffered day painkiller leg collapse road
47,47,Speaker 2,F,00:13:57,kind mask real problem
48,48,Speaker 3,F,00:14:01,sort
49,49,Speaker 1,F,00:14:04,washing sound bit bizarre washing dressing future feel bit scary prospect operation hit car wash bath
50,50,Speaker 4,F,00:14:36,mom diabetes dialysis time week blind cook sister carer shower shower ready upset hard mom family daughter grand child wiping bum wiping bum time bum
51,51,Speaker 2,F,00:15:45,imagine forward
52,52,Speaker 4,F,00:15:50,laugh change alison nappy god sake laura sit minute worry wiping
53,53,Speaker 2,F,00:16:25,bless
54,54,Speaker 5,M,00:16:27,guess mental distress life
55,55,Speaker 4,F,00:16:36,mom eighty year
56,56,Speaker 3,F,00:16:48,age rely people trust people abuse 10 year time alzheimer thinking differently trust trust trust people coming
57,57,Speaker 1,F,00:17:06,problem rayan thing realise thing fall ladder change light bulb accident realised physically
58,58,Speaker 2,F,00:17:25,kind gradual thing eyesight hearing mom 88 good hearing ll ll answered heard overnight thing illness
59,59,Speaker 4,F,00:17:47,thing repeating mom told day
60,60,Speaker 4,F,00:18:06,grandchild time daughter work week holiday
61,61,Speaker 2,F,00:18:17,busy girl
62,62,Speaker 4,F,00:18:26,giver taker
63,63,Speaker 2,F,00:18:38,door neighbour lockdown wife cancer treatment doctor lockdown shopping ordinarily shopping month weekly coming plymouth week shopping lidl held breath lidl
64,64,Speaker 2,F,00:19:05,phew home stressful disease nice thing builder reciprocated building porch shopping front porch back finished wow
65,65,Speaker 4,F,00:19:33,scare people
66,66,Speaker 2,F,00:19:45,
67,67,Speaker 1,F,00:19:45,looked
68,68,Speaker 2,F,00:19:52,independent
69,69,Speaker 1,F,00:19:52,
70,70,Speaker 2,F,00:19:52,
71,71,Speaker 1,F,00:19:58,cooking start theme
72,72,Speaker 4,F,00:20:02,cooking cleaning person
73,73,Speaker 1,F,00:20:09,grateful
74,74,Speaker 1,F,00:20:13,miserable
75,75,Speaker 2,F,00:20:15,beholden
76,76,Speaker 1,F,00:20:17,grateful coming thing accept add end low depressed thinking control
77,77,Speaker 2,F,00:20:37,compromise time
78,78,Speaker 5,M,00:20:40,nice people thing
79,79,Speaker 5,M,00:20:45,mind
80,80,Speaker 1,F,00:20:50,easygoing
81,81,Speaker 5,M,00:20:52,give job
