,Text,Happy,Angry,Surprise,Sad,Fear
0,But my thoughts were to learn about technology now learning more about technology.,0.0,0.0,0.0,0.0,1.0
1,"Um,. I'm not crazy technology, computers, even phones. I use my phone as a computer. I've got a laptop and a tablet about the use of make things right. So, um, that was it, really. And then I thought, Well, we'll learn something today.",0.0,0.0,0.5,0.17,0.33
2,Yeah.,0.0,0.0,0.0,0.0,0.0
3,"Very. And yeah, yeah.",0.0,0.0,0.0,0.0,0.0
4,"Would you want to go into the, you know, bottom line, you wanted that you want to live on your place and do things in your own time?",0.0,0.0,0.25,0.0,0.75
5,"It's about different disabilities in one way or another. Looking at the less on the forms so that was 50 percent of where we live. People has got different disabilities. Some people we see struggle and when I became disabled I thought, well, I could get worse as I got older and yeah, I want to be able to stay at home. You know, I don't want to be living in fear of people who live after me, or not being able to do things for yourself. And I think we all feel like that, you know?",0.0,0.25,0.38,0.38,0.0
6,"So that's the reason I came. I love my home. Yeah, I love where I live with my home is, and I came here in the hope that I can learn to stay there as long as I can. And I'd hate to be in a residential care home, for example. It just would not be my scene.",0.15,0.08,0.15,0.38,0.23
7,I managed to be.,0.0,0.0,0.0,0.0,1.0
8,It drives them nuts within a week.,0.0,0.0,0.0,0.0,1.0
9,Freedom.,0.0,0.0,0.0,0.0,0.0
10,"Yeah, freedom.",0.0,0.0,0.0,0.0,0.0
11,My memories of being one's own boss. Yeah.,0.0,0.0,0.0,0.0,0.0
12,"Yeah, yeah. You guys have got memories. I mean, looking at a piece of furniture remembering. As a partner, we used to sit in that chair for example. But when you go into these homes, I don't think you're able to take very much with you at all apart from your clothes. All right. That's my understanding. I think",0.0,0.0,0.2,0.4,0.4
13,"it's that you thought correctly correct? You remember, Bill? Yeah, he's in a care home and he is happy enough. But he's he doesn't see anybody. How come the people in and he was running a video of where we live? He was the light of everybody's life in the, you know, he knew everything about the Barbican and everything he could tell you. He's in his 90s. He could tell you everything. And he was always pleasant to listen to. Um, when you went to a care home, you didn't see a lot of people in the building. You got a coffee mornings when you got down, you know? And so he's got more commonly where he is for each of missiles. He misses his family because they all live north and. To me, I couldn't live like that. You know, so,",0.11,0.0,0.11,0.53,0.26
14,"Well, this picture?",0.0,0.0,0.0,0.0,0.0
15,"daily activities, yes, it is",0.0,0.0,0.0,1.0,0.0
16,"Get in and out of bed. Well,  just living. It's not an activity, it's just existing. In fact, it's very sensitive to me at the moment because I'm fighting for some way of being able in and out of bed. And it's happening to have a sleep in the chair. And then because they can't find",0.0,0.0,0.0,0.5,0.5
17,It's not even mobility is just some sort of equipment and means that I don't have to have a carer coming to put me in and out of bed. so if we are getting emotional it's a bit too ...,0.0,0.0,0.25,0.75,0.0
18,"It's little things that concern me to some extent, I mean, for example, one thing that concerns me is actually having a show of. Now, at the moment, with great difficulty, I might add, I can actually stand up in my best, but it's not easy to actually cross your leg over wow and stand up, but the council have put handrails, so you know, OK, hang on to them and I really appreciate that because without them, there's no way I could get into the best and little things like that I really appreciate. And I just wouldn't like to smell too much.",0.11,0.11,0.41,0.15,0.22
19,"Yeah, I have a wheelchair. Yeah, which looks like the standard of the big wheel. Yeah, I have that in my shower room, so I transfer from one wheelchair to another looking out in the shower. I don't like it I would prefer to stand up. I've got bad shoulders and from trying to get the showering 100, you know, and you don't feel like you clean yourself as a proper boy but it is better than a bath. When I lost my leg, I was given one of the chairs a rise and fall from Millbrook. And that was great because then I could just raise myself up turn around the chair and put my feet down. That was from the bath. So I don't know if you've got one of them.",0.2,0.07,0.13,0.33,0.27
20,I've got an ordinary bath,0.0,0.0,0.0,0.0,1.0
21,ride to call when you put it in your bath.,0.0,0.0,0.0,1.0,0.0
22,"Oh no, I got nothing in the bath except the best mate drive",0.0,0.0,0.5,0.0,0.5
