,Tweet,Anger,Disgust,Fear,Joy,Sadness,Surprise
0,I live with a partner on one cat.,0.0058572255,0.0019160456,0.010734045,0.76946163,0.0589668,0.15306424
1,"Yeah. I don't think I'd mind because if I feel that I need help with somebody around in case something happens to be, I feel bad for somebody with. You know, if that was something someone was knocking every day or checking, if I'm OK.",0.066237055,0.031350218,0.37348038,0.024362534,0.17139827,0.33317155
2,Are they?,0.11048048,0.052232586,0.4203861,0.16535157,0.04496759,0.20658167
3,I'm shaving less often.,0.035922576,0.0068886313,0.07863127,0.34605956,0.25828898,0.274209
4,Tapioca!,0.012581936,0.001917907,0.041412394,0.7181532,0.020179642,0.20575492
5,"I like gardening, so I'd like green space to look after when I'm older. Feed the birds and stuff like that.",0.028073378,0.004315235,0.033549197,0.8289397,0.02417967,0.08094283
6,"Walking, I like countryside walking.",0.014240983,0.00224032,0.061526116,0.4388285,0.014935194,0.4682289
7,It's not that flat in Plymouth by the way.,0.095585115,0.032300442,0.052755788,0.20652637,0.41135532,0.20147696
8,I guess it's the mental distress that it causes. Isn't it ? when you can't do what you were used to  maybe ??? with life? Yeah. You know.,0.00032981238,1.2193159e-06,0.0038673454,0.99544066,0.00033674325,2.4228291e-05
9,"And I think it'd be quite nice. I mean, people do things for you.",0.052966595,0.0035784552,0.0047122855,0.48320737,0.034608986,0.4209263
10,"yeah, I won't mind.",0.025283746,0.0010035344,0.056318074,0.26697755,0.094375394,0.5560417
11,I just give them more jobs.,0.04442048,0.004902813,0.016475393,0.7287392,0.11116267,0.09429945
12,"Yeah, I've seen it right. I enjoy a good book or good films. I just noticed reading that I really enjoy a good book or watching a good film.",0.012733394,0.0022447864,0.034889765,0.8869146,0.05913639,0.0040810616
13,"Yeah, I'll make rude comment",0.26692563,0.048102465,0.023159543,0.10694035,0.047548924,0.5073231
14,"Yes, yes. You know, regarding the car accident, you had to.",0.018061439,0.006955433,0.041143235,0.4581059,0.014544738,0.46118927
15,A few of us mentioned walking.,0.028521303,0.0038436628,0.1211667,0.7282369,0.008009499,0.1102219
16,"Cooking is fun, isn't it? because you can look forward to eating after that.",0.018765468,0.0061108526,0.039663803,0.20707585,0.5077422,0.22064182
17,"I think I have it for granted in a way, but it's taken away. Yeah. See if you are alone for the week.",0.016509756,0.0020704507,0.08436018,0.14349714,0.12425115,0.6293113
18,"Well, isolation was used in prisons as a punishment, wasn't it?",0.006182011,0.02022254,0.4512561,0.004109876,0.0074729184,0.51075655
19,Oh yeah. So you'd be locked on your own.,0.017014675,0.014093842,0.010290989,0.09291598,0.02875688,0.83692765
20,"And I think there was a study made by a bit of a cruel statistically, but I think they did it with cats and the cats would be happier if you had any kind of contact, even if it was negative contact if it was just hit. Kind of thing, rather than stroke, it would be happier just because of the contact. So they were saying, well, that could be sort of people as well. Yeah. So just bad, any contact was better than nothing at all which is weird.",0.25511584,0.012005634,0.5844954,0.1187216,0.02003877,0.009622768
21,Very important! Laughs..,0.0057508233,0.00054221717,0.047570746,0.9175117,0.016519887,0.012104607
22,"Well, that's where you got all the guts??? Said, which is great things you wouldn't say in the office.",0.004853524,0.0010496292,0.011111909,0.29620868,0.033722345,0.65305394
23,"And you get to learn about all the teams because suddenly we're going to talk of the other teams in the organisation unless there's a meeting or something or something formal. So, yeah, so you get to know what's happening in their little neck of the woods.",0.0661836,0.008598451,0.040614985,0.6977963,0.0115393605,0.17526734
24,"Yeah, yeah. There's a can opener??? Which is really good. Yeah.",0.0006723111,0.00048301747,0.00243099,0.043261454,0.0016220338,0.9515302
25,You could put the light somewhere else?,0.09983154,0.013696076,0.020757101,0.04881393,0.041041665,0.7758597
26,A lack of money could be a barrier.,0.09252327,0.040314093,0.6137559,0.05303753,0.07046402,0.12990522
27,"You've got to qualify, I think. Yeah. And then social services would help you.",0.22466455,0.034962747,0.13504457,0.26983914,0.18746255,0.14802642
28,"And it's knowing that that help is out there as well, because you may not know that you could get help. Yeah. So it'd be nice if somebody came to see you and explained, Oh yeah, you could have this, you could have that because I'm sure a lot of think lots of older people don't claim certain things today and that they're entitled to.",0.13763846,0.012360161,0.4255089,0.2756355,0.12962402,0.019232929
29,"Yeah, yeah, yeah. Well, she's paid all her life social insurance. That's what it's for, isn't it?",0.06297684,0.019901276,0.05159884,0.25338978,0.07793146,0.5342018
30,Especially with clothes because you want to feel them and try them on.,0.23067972,0.010357556,0.10396033,0.38801244,0.079309925,0.18768004
31,Look for the bargains.,0.010346604,0.0036775894,0.013592653,0.3755517,0.032695327,0.56413615
32,They don't always give you the very thing either.,0.04225451,0.018365422,0.07447181,0.054136164,0.6511229,0.15964916
33,"It's the same colour..Laughs.  Yeah, yeah.",0.0007564392,0.00017969508,0.0008478014,0.9951427,0.00080736843,0.0022659905
34,"Yes. Knowledge. Would it be big for me? Knowledge knowing? Yeah, yeah. Information?",0.008751547,0.0029192066,0.05530475,0.074685894,0.017307505,0.8410311
35,Yeah. So it's something you haven't heard about,0.0016319978,0.0009163579,0.005826928,0.04724126,0.016355496,0.928028
36,something like 65.,0.049775068,0.005685541,0.059677526,0.21216257,0.041186012,0.6315133
37,Transport.,0.010605145,0.00076436385,0.024403654,0.93362856,0.005702434,0.024895858
