,Tweet,Anger,Disgust,Fear,Joy,Sadness,Surprise
0,"Well, this. Well, you don't want any meal kit now.",0.07897333,0.01585309,0.054388825,0.07029559,0.1334957,0.64699346
1,"You want your independence. Yeah, yeah. So it's been kind of a bit of freedom as well. You know, you've worked all your life lived all your life independently and then to get somebody else to be telling you what you should be doing. Yeah. You know, while you can still do it yourself, you understand?",0.04741996,0.0028475204,0.20851111,0.637895,0.0021843568,0.101142086
2,Having your kids do it on the phone.,0.09568401,0.009153688,0.012574948,0.8134498,0.03439989,0.03473767
3,"Oh yeah. I don't want to be sat in a chair then, and old people just want when it's time.",0.5473761,0.027203964,0.1750781,0.158737,0.03168255,0.05992231
4,"I think if you live in a home and you really become institutionalised, you know, I I mean, I know many people that have moved to the home and they were they were finaly independent in their own home, but they've completely changed when they go into their homes. That's one reason why I want to stay in my own home.",0.20546861,0.003725125,0.26744416,0.3545581,0.15471339,0.014090596
5,"And, you know, people could stay longer independently in their own home, but still might need a bit of support, like a bit of a care package, somebody coming in, maybe just to check on them, not necessarily to do something for them, but just to check their all right. And they've taken the medication, you know, and that helps them stay longer. They don't actually want somebody in there.",0.21155436,0.1770054,0.09463512,0.01664322,0.2372151,0.26294678
6,"But that's that can be quite spooky as well, because I've worked with people with dementia and they put in place different needs to keep them safe at home, like. They they made a recording of their daughter's voice, prompting them to take their medication. Yeah, and it's like that. Well, that can be spooky. If you've got dementia you suddenly got your daughter talking at 10 o'clock at night. Yeah. You she then spent the next few hours looking for her.",0.31001765,0.077844605,0.055965565,0.11110933,0.13212945,0.31293342
7,"No. You know, there was like sensor pads in the bed. But if you set it for eight o'clock in the morning and if you weren't at that bed by 8:30, you get a prompt for what we would like laying but  you know. That type of thing, we have physically seen where voice is coming from. I think here is as an adverse effect on a lot of people.",0.03878158,0.0008482142,0.28897092,0.67018116,0.00085428,0.00036386107
8,"I've found too. My aunt's got dementia and I was talking to her on the phone when she was still answering the phone and she'd be going on about these people cooking all these lovely meals and then drinking my wine, she said. I've paid for it. They never offered me any and I never get the meal. I was really surprised about this because she got a carer and I wasn't too sure of. And then it tweaked I said: have you got and it was John and Lisa on cooking on a Saturday morning on the television, and she said the television was was real. It took me a while to dig in because she is...",0.01933807,0.0108405,0.12989518,0.76181215,0.02449902,0.05361509
9,"Did you say, Jill, that she had dementia?",0.09761269,0.0725654,0.28995863,0.16299179,0.19090423,0.18596725
10,"Yes, she said she got diagnosed",0.003501645,0.0035687499,0.009383726,0.10998201,0.026979046,0.8465848
11,"with Alzheimer's dementia, it's very very difficult. You have to worry about a robot.",0.07688641,0.0034193401,0.7158334,0.1498056,0.02290995,0.03114526
12,"we deviate until she's got a brain. So much, much harder. Yes. Yes. So this is not what we are.",0.008793209,0.002872388,0.08911453,0.43210012,0.112676784,0.35444295
13,Walking. Going outside and walking everyday you have to do.,0.008141927,0.0002514043,0.020497533,0.93644804,0.015565876,0.019095244
14,"Yeah, yeah, we do. When you took it, you did. Four of us here do Taichi, dancing.",0.0011660078,0.00010258369,0.009885353,0.9348177,0.010409109,0.04361925
15,"I thought we'd been on hold. Yeah. Yeah. If we're walking for health today,",0.029772421,0.0013577314,0.014060144,0.43387356,0.082792126,0.438144
16,an we do DJ dancing. Don't forget our DJ dancing. Sorry because the racing is starting these days?,0.0015057267,0.0003545548,0.012178597,0.9487597,0.0045872172,0.032614212
17,"I think it's going out into the Fresh air. I say that. But if I just let you use it fresh off, they need you to just go out. Yeah, I think it's expensive that I think as a matter of law, you can you could use it as well. Yes, I can live outside well, it's 50 times what. But once you get to the stage when some things that might help stem",0.30187413,0.015157801,0.4797677,0.1741226,0.0063930815,0.022684688
18,"You know the Taichi, with a lot of older people, they don't realise it, but it is so good for you. Oh yeah. Do you konw if you get something really wrong with you and you have a physio? Let's say a physio, most of the exercises they do is the same ones that we do at Taichi, and it's just ample. Do you agree that it's good for you?",0.051266752,0.037292592,0.24927038,0.43182084,0.061537735,0.16881171
19,"Because it's a social event as well, it's not just going for the exercise.It's a social adventure, it sounds lovely.",0.00087794894,0.00013668713,0.0018834325,0.945531,0.0032547915,0.04831611
20,"Sorry, we shouted out the poor boy.",0.014682521,0.019530421,0.024768889,0.06300434,0.1277313,0.7502825
21,It's a man man. Laughs. We do all lessons.,0.0036562034,9.083325e-05,0.015683403,0.97443175,0.0031109857,0.003026795
22,"I tell you what, we'll take you with the nap state.",0.43742788,0.019414507,0.24511147,0.20007709,0.040478766,0.0574903
23,You can come on first.,0.05274799,0.006660066,0.08910188,0.12273355,0.068969905,0.6597866
24,I think I did Taichi and like this. It's like some all gentle exercise. It's chinese.I did it in China and ...,0.05804286,0.0035376342,0.058446903,0.59416234,0.16154052,0.12426975
25,"give me a bouncing ball, fans, and sticks  and they are very ...",0.18659596,0.026976295,0.18805927,0.4535772,0.07884745,0.065943815
26,"All right. So is there another reason for going out is the communication, even if you have only have a few words with a stranger and say, Good morning, how are you? Because it's so like, OK, it's so easy when you're on your own to lose the power of speaking. If you like of having a conversation, if you're on your own all the time, you're just sharing a television set and you're not getting anything constructive back from it.",0.13337028,0.45783088,0.10426372,0.031441756,0.011733832,0.26135954
27,So it is quite easy then over time to lose the art of conversation.,0.3410518,0.007919465,0.073771514,0.36070606,0.15900037,0.057550818
28,I sit on your board as well if you want to put swimming.,0.51647115,0.039751377,0.08818025,0.1451686,0.02888428,0.18154436
29,"Yeah, in the life centre swimming.",0.001038443,5.6021054e-05,0.006637215,0.98692036,0.00062346435,0.0047244853
30,"And that's that's good, because it's easier than most exercises, isn't it? swimming in the water",0.006939673,0.0005832357,0.046443786,0.8872346,0.012119971,0.046678707
31,just walk around again. Hmm. I don't want to Taichi. I do volunteering and I I'm back at Food Bank.,0.015124855,0.0026514141,0.1183396,0.52345127,0.22814198,0.11229087
32,"Coating on footwear, self-care. Yes. Some people come when they go into the shoes to do the shoes ...",0.058941808,0.07324319,0.05197032,0.27944607,0.11042829,0.42597032
33,"Yeah, I think it's important to keep in mind up to this. Well, very important.",0.024773305,0.0022957798,0.162122,0.28377062,0.026227284,0.500811
34,"Puzzles, crosswords, reading. Mm hmm. Yeah. Well, all the media stuff.",0.023891661,0.0039357026,0.010094325,0.370762,0.103076726,0.4882396
35,"You've also got to be able to adapt to a change in your lifestyle. Things that you could quite easily do with, you know, you have domestic chores, putting the garbage outside, things like that. Sometimes you've got to adapt and find a different way of doing something that you're able to do so that you can still carry on doing it. It's not causing you any distress or worry. Simple things like my son in law, my son in law, my grandson has just moved everything off the top shelf to the middle shelf, in the kitchen cupboard because I've shrunk a bit and I can't reach the top ones anymore. So he's put the ones I don't use very much up there and put all the",0.2593429,0.0027792803,0.04156304,0.23343654,0.4361906,0.026687639
36,"Yeah. So that. Every time they come out, I'm not saying, can you get me this, can you get me that? Yeah, he's already then for me. So, you know, you've got to look to adapt rather than say, I can't do something. You've got to try and find a different way of doing it.",0.13729984,0.33943066,0.39425492,0.07714678,0.037809715,0.014058092
37,You've got to be careful with walking as well because of the stairs and ...,0.22469045,0.017103111,0.20973633,0.483392,0.040606063,0.024472047
38,"It causes it for pure nativism because I always hated House, but I forgot how hard it was hard to get enthusiastic about all these days. Laughs.",0.036271278,0.011537769,0.0044161417,0.8435016,0.0716344,0.032638766
39,It can be soul destroying because you aren't going to do it again.,0.14215113,0.011929975,0.10192131,0.3171893,0.30224144,0.12456681
40,What's that?,0.03414573,0.024069872,0.10812155,0.10618238,0.038294524,0.6891859
41,House works.,0.0010528474,0.00030898032,0.0012460692,0.9011354,0.0055107027,0.090746
42,"Oh, I hate it. Well, nobody likes it.I don't know some people do.",0.11831375,0.022838416,0.031724606,0.04232068,0.14085834,0.6439442
43,We get going.,0.024261193,0.005141567,0.08170609,0.68195105,0.040375594,0.1665645
44,"I tell you what is missing, is family. Yeah. If you're seeing your grand children and things like that, that visual let you have done it.",0.00011077627,1.1650545e-06,0.0024670311,0.9972248,0.00017546325,2.0771056e-05
