,Tweet,Anger,Disgust,Fear,Joy,Sadness,Surprise
0,But my thoughts were to learn about technology now learning more about technology.,0.13387404,0.0035103243,0.06238467,0.37682363,0.36988088,0.053526442
1,"Um,. I'm not crazy technology, computers, even phones. I use my phone as a computer. I've got a laptop and a tablet about the use of make things right. So, um, that was it, really. And then I thought, Well, we'll learn something today.",0.053756077,0.010031578,0.032398917,0.053486727,0.011827146,0.83849955
2,Yeah.,0.0057457667,0.005653041,0.011553489,0.5717259,0.038030714,0.36729106
3,"Very. And yeah, yeah.",0.03048189,0.009943833,0.057116605,0.544767,0.051608402,0.30608228
4,"It's about different disabilities in one way or another. Looking at the less on the forms so that was 50 percent of where we live. People has got different disabilities. Some people we see struggle and when I became disabled I thought, well, I could get worse as I got older and yeah, I want to be able to stay at home. You know, I don't want to be living in fear of people who live after me, or not being able to do things for yourself. And I think we all feel like that, you know?",0.000840891,1.4662811e-05,0.99727094,0.0017437954,0.00012172051,8.01252e-06
5,"So that's the reason I came. I love my home. Yeah, I love where I live with my home is, and I came here in the hope that I can learn to stay there as long as I can. And I'd hate to be in a residential care home, for example. It just would not be my scene.",0.23802885,0.05531695,0.57178855,0.046504587,0.043986138,0.044374947
6,I managed to be.,0.038891654,0.006485125,0.022806387,0.32600766,0.03081434,0.5749948
7,My memories of being one's own boss. Yeah.,0.003101298,0.00071946974,0.057523,0.8170326,0.10845624,0.013167432
8,"it's that you thought correctly correct? You remember, Bill? Yeah, he's in a care home and he is happy enough. But he's he doesn't see anybody. How come the people in and he was running a video of where we live? He was the light of everybody's life in the, you know, he knew everything about the Barbican and everything he could tell you. He's in his 90s. He could tell you everything. And he was always pleasant to listen to. Um, when you went to a care home, you didn't see a lot of people in the building. You got a coffee mornings when you got down, you know? And so he's got more commonly where he is for each of missiles. He misses his family because they all live north and. To me, I couldn't live like that. You know, so,",0.02346352,0.018091097,0.10903436,0.043495655,0.7057565,0.10015891
9,"daily activities, yes, it is",0.038168047,0.0035728558,0.118983686,0.73482436,0.029808609,0.074642465
10,"It's little things that concern me to some extent, I mean, for example, one thing that concerns me is actually having a show of. Now, at the moment, with great difficulty, I might add, I can actually stand up in my best, but it's not easy to actually cross your leg over wow and stand up, but the council have put handrails, so you know, OK, hang on to them and I really appreciate that because without them, there's no way I could get into the best and little things like that I really appreciate. And I just wouldn't like to smell too much.",0.22280312,0.0036347022,0.09291714,0.3865956,0.17319016,0.120859295
11,"Yeah, I have a wheelchair. Yeah, which looks like the standard of the big wheel. Yeah, I have that in my shower room, so I transfer from one wheelchair to another looking out in the shower. I don't like it I would prefer to stand up. I've got bad shoulders and from trying to get the showering 100, you know, and you don't feel like you clean yourself as a proper boy but it is better than a bath. When I lost my leg, I was given one of the chairs a rise and fall from Millbrook. And that was great because then I could just raise myself up turn around the chair and put my feet down. That was from the bath. So I don't know if you've got one of them.",0.008401242,0.0016420096,0.5358612,0.42336157,0.008616793,0.022117175
12,I've got an ordinary bath,0.004144861,0.0013892889,0.03890886,0.5342762,0.0114899585,0.40979084
13,ride to call when you put it in your bath.,0.028004572,0.008444817,0.06707126,0.14816388,0.010578723,0.73773676
