,Tweet,Anger,Disgust,Fear,Joy,Sadness,Surprise
0,"Would you want to go into the, you know, bottom line, you wanted that you want to live on your place and do things in your own time?",0.27822733,0.077254124,0.21645048,0.13465703,0.22208717,0.07132387
1,It drives them nuts within a week.,0.039549727,0.004821651,0.15177676,0.5691044,0.052721277,0.18202619
2,Freedom.,0.02256195,0.0029820846,0.21168053,0.7337002,0.018778348,0.010296884
3,"Yeah, freedom.",0.013193905,0.0027246384,0.061370075,0.8717929,0.013340523,0.037577976
4,"Yeah, yeah. You guys have got memories. I mean, looking at a piece of furniture remembering. As a partner, we used to sit in that chair for example. But when you go into these homes, I don't think you're able to take very much with you at all apart from your clothes. All right. That's my understanding. I think",0.6162494,0.028076643,0.0484716,0.020346636,0.07871343,0.20814233
5,"Well, this picture?",0.003301801,0.001443343,0.0155040715,0.53371036,0.018954193,0.4270862
6,"Get in and out of bed. Well,  just living. It's not an activity, it's just existing. In fact, it's very sensitive to me at the moment because I'm fighting for some way of being able in and out of bed. And it's happening to have a sleep in the chair. And then because they can't find",0.008542788,0.0009200993,0.055678282,0.9217584,0.009649246,0.003451146
7,It's not even mobility is just some sort of equipment and means that I don't have to have a carer coming to put me in and out of bed. so if we are getting emotional it's a bit too ...,0.07987334,0.02362306,0.21942347,0.55435395,0.11396945,0.008756735
8,"Yeah, well, not at the moment, but stairs, perhaps at some point in the future.",0.031614866,0.0025358726,0.05410477,0.83199227,0.012233949,0.06751825
9,"Yes. Well, also outside the house is two dozen stairs up from the road to the house, so maybe I'll have to move at some point.",0.07394206,0.006328767,0.2527168,0.4391324,0.08483706,0.14304292
10,"Yeah, yeah, no. I'm sure I could go all the way to Bodmin to do a wee, awfull.",0.052835602,0.0076834923,0.044585675,0.5036229,0.21999452,0.17127784
11,"without it through your lockdown, you wouldn't have seen anybody that didn't have no children with anybody who didn't have that. You're isolated you",0.09865245,0.03655037,0.09430475,0.32311854,0.0747766,0.3725973
12,"I mean, I think the said, I know it's unusual that the pandemic will take the effect on mental health as being. Of jobs,",0.003654715,0.00016472547,0.0072132125,0.94561064,0.03481524,0.008541446
13,"You know, I was very, very lucky at the very beginning. I had a heart bypass and my daughter took me up to Kent to stay with her. Unfortunately, not going to school. I was there, so she got stuck with me for three weeks, unfortunately. And you know, any excuse because they brought me back in time or had my first job in Kent and they brought me back to have a second one here. Uh huh.. I must be horrible. Well, it doesn't bother me. I mean, where I live, we don't have a community centre. We don't have anywhere we can go and talk. So I was in the courtroom every day, but I just didn't",0.13719834,0.047032513,0.49981055,0.06514464,0.2362147,0.014599265
14,"day. Yeah. Well, I'm lucky I live on the Hoe. Oh, so I've only I've only got to walk five minutes. I'm actually on the Hoe a life long live every day for a little walk and talk again. I mean, I used to see some of the neighbours, but. You know, we didn't mix.",0.02882917,0.028486429,0.3280211,0.09865835,0.14305016,0.37295476
15,"is the ones that couldn't get out in the community. I mean, there's the bungalows and we could see if we couldn't meet up with them and it was fun to see people there was certain neighbours that we had couldn't leave home. I don't blame them. And it could be that. And I love the interaction of people. But without Zoom and teams and all that, I well, I would recommend. Definitely. I mean, I wouldn't have been able to see my family without the internet.",0.04518148,0.0025109344,0.015938073,0.26606035,0.023356242,0.6469529
16,I haven't got the internet or and I don't use the computer now just it doesn't bother me from the get go and don't bother me when I have to contact firms and they,0.05983651,0.011133528,0.0707538,0.3924313,0.062336206,0.4035087
17,"or doctors. Doctors, now that they are nightmares now because I'm trying to get hold on to an e-consult and if you're not on the internet now, for your prescriptions and contacting doctors. That is huge!",0.06311764,0.00897369,0.050658297,0.8578964,0.0015106738,0.017843338
18,"yeah. Well, there again, I'm very lucky because when I want my prescription, I'll just bring up a little chemist in West Hoe and they they just routinely get it and they deliver it to me.",0.9112994,0.0047494415,0.0144382855,0.0462095,0.0018199066,0.02148343
19,I hope they are not going to stopping that.,0.04923934,0.013074622,0.7214047,0.010994008,0.053970844,0.15131654
20,"Yeah, I'm very lucky.",0.0044964408,0.005283631,0.007267598,0.05582721,0.024901189,0.90222394
21,How did you set that up?,0.065598026,0.028996693,0.2675364,0.030205712,0.064906575,0.5427566
22,My surgery will let you know what.,0.02226258,0.0009949177,0.24491899,0.45931283,0.06724589,0.20526479
23,And also this kind of forgotten health care.,0.01168066,0.0005977296,0.014418148,0.44863853,0.2010339,0.32363102
24,"Well, how can they see what you look like? It's only telephone.",0.0862757,0.019664012,0.043672536,0.15003583,0.4933938,0.20695813
25,"Yeah, that's my issue.",0.4883303,0.013882124,0.055426992,0.15722634,0.11300692,0.17212732
26,"Well, I was just thinking of touch wood how fortunate I am at the moment. I did have a partner who has a lot of difficulties that you seem to have. Yeah, you make a good point. Most of your doctors, but all sort of organisations I wanted to get in touch about my television license. And there's no number to ring them. Very annoying. And yet I've done so well.",0.029363757,0.0024740365,0.048192907,0.7183839,0.11255671,0.08902868
27,"You know, I mean, I tried to ring with William, and I try to ring them the other day, and I didn't find a number, My grand daughter found it on the computer and I rang them. Oh, you've come to the wrong place, you should go for hero.",0.15049638,0.0018936661,0.018878933,0.14451869,0.02029182,0.6639205
28,"Yeah, yeah.",0.0067442446,0.0058021815,0.008984959,0.33909202,0.031450544,0.6079261
29,"unless there is a  danger now if you were not switched on to the scam, they'll go and say, Oh, something with your back press one. As soon as you press one.",0.058295865,0.0009768503,0.92231524,0.015189434,0.00096252956,0.0022601022
30,"And you do it automatically like the something with the police and comics, as you know in the show. Yeah. They will panic, you know, at the moment of screen time, and I don't think so. And. But I would think you'd be lucky, he said, just don't don't don't engage conversation with people. But people do! yeah, and they get caught and they lose an awful amount of money. There's people out there, though this is awful, awful evil creatures that know it. And again, just because everything is online or on the phone. That's how you get people's lives in danger for all this technology",0.092015155,0.012585636,0.12654902,0.36190554,0.0653211,0.34162354
31,"A little bit of back, some decent television.",0.028596371,0.007933787,0.0097683435,0.18040226,0.6649629,0.10833632
32,So it is both,0.037398163,0.009317141,0.09441555,0.3875897,0.08014419,0.39113528
