,Tweet,Anger,Disgust,Fear,Joy,Sadness,Surprise,Trust,Anticipation
0,But my thoughts were to learn about technology now learning more about technology.,0.09268677,0.0025736503,0.051613867,0.30187538,0.2902235,0.051035102,0.17933449,0.030657234
1,"Um,. I'm not crazy technology, computers, even phones. I use my phone as a computer. I've got a laptop and a tablet about the use of make things right. So, um, that was it, really. And then I thought, Well, we'll learn something today.",0.028196808,0.0052930084,0.019126946,0.020282311,0.004209369,0.37863418,0.4949041,0.049353275
2,Yeah.,0.0049883868,0.0050767465,0.009239294,0.4443047,0.032086007,0.32340598,0.17296685,0.007932046
3,"Very. And yeah, yeah.",0.023879992,0.007916094,0.04324931,0.39990833,0.041225176,0.24262358,0.21546346,0.025734054
4,"It's about different disabilities in one way or another. Looking at the less on the forms so that was 50 percent of where we live. People has got different disabilities. Some people we see struggle and when I became disabled I thought, well, I could get worse as I got older and yeah, I want to be able to stay at home. You know, I don't want to be living in fear of people who live after me, or not being able to do things for yourself. And I think we all feel like that, you know?",0.0008267982,9.670538e-06,0.94056064,0.0023497583,0.0001233337,1.3253615e-05,0.056110717,5.8486366e-06
5,"So that's the reason I came. I love my home. Yeah, I love where I live with my home is, and I came here in the hope that I can learn to stay there as long as I can. And I'd hate to be in a residential care home, for example. It just would not be my scene.",0.09949579,0.019921988,0.18819667,0.013148049,0.015128254,0.025708186,0.6265626,0.011838475
6,I managed to be.,0.033160742,0.0051705525,0.017709948,0.23135625,0.02478152,0.42244107,0.25539002,0.009989893
7,My memories of being one's own boss. Yeah.,0.0029281795,0.0005374066,0.051785238,0.7605267,0.107844874,0.01491227,0.05262628,0.008839056
8,"it's that you thought correctly correct? You remember, Bill? Yeah, he's in a care home and he is happy enough. But he's he doesn't see anybody. How come the people in and he was running a video of where we live? He was the light of everybody's life in the, you know, he knew everything about the Barbican and everything he could tell you. He's in his 90s. He could tell you everything. And he was always pleasant to listen to. Um, when you went to a care home, you didn't see a lot of people in the building. You got a coffee mornings when you got down, you know? And so he's got more commonly where he is for each of missiles. He misses his family because they all live north and. To me, I couldn't live like that. You know, so,",0.005311588,0.0038075792,0.041947942,0.011189476,0.22811553,0.03518291,0.66602993,0.008415048
9,"daily activities, yes, it is",0.011307578,0.0010090258,0.04449202,0.26346594,0.009672404,0.025852164,0.6399654,0.004235447
10,"It's little things that concern me to some extent, I mean, for example, one thing that concerns me is actually having a show of. Now, at the moment, with great difficulty, I might add, I can actually stand up in my best, but it's not easy to actually cross your leg over wow and stand up, but the council have put handrails, so you know, OK, hang on to them and I really appreciate that because without them, there's no way I could get into the best and little things like that I really appreciate. And I just wouldn't like to smell too much.",0.15994026,0.0017943413,0.0650254,0.19585323,0.10653033,0.088780865,0.3568724,0.025203155
11,"Yeah, I have a wheelchair. Yeah, which looks like the standard of the big wheel. Yeah, I have that in my shower room, so I transfer from one wheelchair to another looking out in the shower. I don't like it I would prefer to stand up. I've got bad shoulders and from trying to get the showering 100, you know, and you don't feel like you clean yourself as a proper boy but it is better than a bath. When I lost my leg, I was given one of the chairs a rise and fall from Millbrook. And that was great because then I could just raise myself up turn around the chair and put my feet down. That was from the bath. So I don't know if you've got one of them.",0.010301416,0.0011426436,0.5399895,0.2761294,0.0069273757,0.024831941,0.1389373,0.0017404438
12,I've got an ordinary bath,0.003161513,0.0011253087,0.04037553,0.5097494,0.011753626,0.36771423,0.053404965,0.01271544
13,ride to call when you put it in your bath.,0.01735071,0.004549344,0.05331216,0.09842943,0.0070667006,0.5424023,0.24175382,0.03513554
14,"Oh no, I got nothing in the bath except the best mate drive",0.008871686,0.00258943,0.047223736,0.19990689,0.13409163,0.14730337,0.44174907,0.018264195
15,"Yeah, I didn't know they existed till I got one. Yeah. And I thought. And anybody struggling to get in and out of a bath of bullying about slipping falling in the bath. I mean, say we really, for me, a period in my confidence that started off with a bench going across the bath and I nearly went headfirst into the touch. And so I was at seven. Not we're not going to forget, you know,",0.015621206,0.0026805876,0.057777967,0.2295444,0.13650107,0.21746138,0.32309756,0.017315827
16,"that period of time where we moved when I moved to now. Most of us got wet rooms. I think there's only one fly out the 34. It's got a bath. And their ideal for us, even if you only want a walking yeah, like I say, I was given that wheel chair just sat on that and it is quite comfy cushions say, you know, it's great.",0.022676121,0.0004369524,0.02617747,0.14585924,0.0077753165,0.024112549,0.7722181,0.00074424
17,Not for me?,0.012080607,0.004776139,0.075851016,0.030295659,0.2072974,0.04391555,0.6134266,0.012357016
18,"Yeah, that that bothers me because I have neuropathy means so don't feel heat straight away. Um, when I moved back in, I'm now four years ago, I was in a wheelchair. I'm in my bedroom. Very rarely wore it. Don't do this impression, but the important hello worked for me. I didn't have open air fryer and a small hub that was great while I was in the chair that was worried about leaning forward, bending down to get to the Oven. And even now I can bend down. Sometimes I can lose me balance, so it didn't bother me. And I think as I got older, personally that does concern me. You know, I've I lost me there like that. Be it, then I wouldn't be cooking takeaways. Yeah.",0.12428178,0.012707496,0.08602879,0.09983707,0.038470067,0.15687707,0.47625527,0.005542473
19,I like talking!,0.031267278,0.005414403,0.024528794,0.09847472,0.0065283356,0.19357955,0.6308305,0.009376405
20,"Oh, there will be no look area,.",0.0027398327,0.0010332179,0.005804476,0.123087294,0.2966435,0.29826826,0.1859426,0.086480826
21,"Transport is probably one chance for trying to get in and out because they can't use buses or taxis because I have difficulty trying to get into a door had trouble getting your car, you know? Yeah, and quite tall. Not quite as you bend, I've got back and hip problem. I can't kind of move properly. It's difficult with me. So is transport is a an issue.",0.0061543356,1.7572736e-05,0.0017412606,0.05614626,0.0032832294,0.00027757057,0.93226844,0.00011135064
22,"I'm glad you mentioned that because transport will be the top of my list. And the reason being that as long as I can get on a bus and I can celebrate it in a bus stop, I can see my children and one lives in Launceston. One lives in Woodbridge and two and a half hours on the bus. But the only problem I've got with buses are and get on the bus at the moment and get off. But. I've got a hopefully I can manage without a wee until I get to Bodmin.",0.009456751,0.00050744275,0.06908618,0.538869,0.0050109695,0.010925185,0.35085174,0.015292687
23,pretty soon because it stops them enough above me for me to get out and have a pea that I've got to tell you this too.,0.004220706,0.00025118847,0.0058515156,0.16490531,0.0063376375,0.23430339,0.57633656,0.0077936915
24,"Yeah, I've already mentioned we're right. Yeah. You know, I've been since, you know, legally here.",0.020875882,0.003969326,0.009851294,0.33896482,0.06756272,0.30161202,0.16172707,0.095436856
25,"It's no, definitely not. But um. I think it's a good way of being in contact with people in families. I know it's nice to be together, but with everything we've gone through, you know, on Zoom or other social media, you can be your messenger through Facebook and it is good you can see your family talking to, you know, um,",0.00276698,0.0003944434,0.044583287,0.12039393,0.0010215103,0.0012588324,0.82927203,0.00030899156
26,"thinking, Oh yeah.",0.021042138,0.0041685505,0.04858087,0.51270425,0.10053305,0.19807063,0.09558325,0.019317225
27,"I struggle with it when I thought I had to isolate, because that meant taking early last year was to say isolate for 14 days. I struggled to quell my scooter to try to avoid everybody. Well, no shops open in town show free travel around there, but it can get scary as well. And I think I'm more scared now than it was last year, and I think it's because of the understanding of it about both the Jabs obsessive test yourself twice a week. But we have a great community where we live. We're lucky, we're very lucky, and we all realise that, um, we had nobody had the infection or anything like that, you know, the virus. So and we do sit downstairs. I'm not in the community when we weren't allowed to use that, but it's still sitting in the main entrance. You know, I don't",0.11432122,0.015102524,0.103454426,0.05773823,0.05293998,0.37366456,0.24040917,0.042369913
28,"do or out in the courtyard, you know, so we had the communication wasn't too bad for us. But if you look what your own in your own house and I think you're more isolated than I think communication right through technology is in really, you know.",0.054118074,0.016928399,0.0682601,0.09404438,0.056767557,0.4056298,0.27216977,0.0320819
29,"When some people can't drive a car, that's how you do notoriety before then. Once you try to ?  During lockdown I was stuck for two years. Yes. We just live in a bedroom and that's it is a shared house for four people. And I wouldn't go see it.",0.033312123,0.00085255154,0.1484201,0.6096277,0.055069916,0.01798256,0.13388667,0.00084837375
30,"And I just don't think even though we've got a community, we do face to face just in our reality now. You know, while they are still things like, do they really, I don't know what we would have done 40 years ago. I really don't, you know, so",0.02806243,0.00508896,0.011227537,0.016346183,0.021428596,0.022043671,0.8916476,0.004155053
31,"They've been very good press so of. I mean, I'm not with them, but some the our residents are yeah. And you know, I mean, that struggle. I don't even have to pay for my prescriptions. I got a text message from Boots's chemist because of pain and your prescription is ready for collection and closes the book. The booth came back only 10 minutes, you know? Yeah. So our customer, so we've been lucky like that.",0.0013677499,0.00041716738,0.006414061,5.315514e-05,0.00013977522,0.025260385,0.00093743415,0.9654103
