,Text,Happy,Angry,Surprise,Sad,Fear
0,"Get to the airport, put my case in, next stop. You know, the bark.",0.0,0.0,0.0,0.5,0.5
1,"Gardening, yes.",0.0,0.0,0.0,1.0,0.0
2,"She was fine. she was all right. I mean, the first plant landed upside down",0.25,0.0,0.25,0.0,0.5
3,"Well, sometimes you get, you know, a bit negative. Yeah, I like to say something serene. You know? Yeah, like I said, that is it. Right? Well, yeah. You know that all these, you know?",0.2,0.0,0.4,0.2,0.2
4,"Yeah, just get him off the chair and just sit outside in the fresh air saying, try it now, but I've tried to say, man instead of me doing it today, you do it. You know? But he's afraid of falling over. The guy fell over several times and of course..",0.0,0.2,0.4,0.0,0.4
5,Got in touch with the right people? Yes. To one another. Yeah.,0.0,0.0,0.0,0.67,0.33
6,"He's been so independent because, I mean, he was he was in the Marines, but he's been so independent and helping other people before he needed himself and he doesn't like it.",0.5,0.25,0.25,0.0,0.0
7,It works both for and.,0.0,0.0,0.0,0.0,1.0
8,We never know. Laughs.,0.0,0.0,0.0,0.0,0.0
9,"And this is often very, very commonly when we call our GP. It's so difficult to talk to your GP, I mean, you just end up in these terrible menus.",0.0,0.0,0.0,0.0,1.0
10,"The only danger I can see is crime. Crime is a lot, isn't it?",0.0,0.0,0.0,0.75,0.25
11,They don't have taxis today from community aims to begin,0.0,0.0,0.0,1.0,0.0
12,"No, that wasn't the taxi, that that was a human error.",0.0,0.0,0.0,1.0,0.0
13,That's a difficult one.,0.0,0.0,0.0,0.0,0.0
14,"Technology, stairs and trip hazards",0.0,0.0,0.0,0.0,1.0
15,You've got some undesirable people in our block.,0.0,0.0,0.0,0.0,0.0
16,"The deliveries, delivery services, as a negative, because they don't bring it all the way up the stairs.",0.0,0.0,0.0,1.0,0.0
