,Tweet,Anger,Disgust,Fear,Joy,Sadness,Surprise,Trust,Anticipation
0,You're welcome participation as well. No worries.,0.010518888,0.0017695263,0.036356486,0.14024068,0.0072246776,0.15113637,0.6487781,0.003975267
1,I live on my own.,0.010994573,0.0015478365,0.040783193,0.28880256,0.21600433,0.0047178194,0.43412572,0.0030239574
2,I live on my own too,0.008559443,0.0024793353,0.047723398,0.24742936,0.38992795,0.005494454,0.29252562,0.005860446
3,I live with my partner and my two cats.,0.0012381357,0.00018287303,0.0034374855,0.8351804,0.007521467,0.1086072,0.040822618,0.0030098222
4,"I live with my partner, and sadly no, no cat .",0.004841162,0.0008016929,0.0051360605,0.20997627,0.6509636,0.073561236,0.053154122,0.0015658439
5,"Very important. Well, obviously I'm not at home all the time. All. It's my space. It's my home, and I can do anything I want. I don't have to please anyone.",0.09116499,0.004147999,0.032237925,0.19121745,0.013763238,0.026659572,0.64008546,0.00072333793
6,My children are always on the phone.,0.025178872,0.0022000528,0.002592768,0.78811014,0.02932997,0.017100638,0.13422069,0.0012668746
7,"Yeah, that's my biggest fear. I don't have children. I don't want to be amongst other people. I want to stay inmy own home, but what happens if Rob is not there like it and I get poorly, I just die in the living room probably. Laughs..",0.04187354,0.0029191442,0.08280511,0.5108572,0.29684693,0.008265163,0.054893143,0.0015397603
8,"I mean, you know, we're lucky we got intercoms posts in our flat. So if benefit was to happen, we could get straight on a medical. So my hope is that gives me confidence. What my daughter come down for 10 days before it's gone?",0.0059231357,0.008240498,0.14985406,0.03622106,0.0039779404,0.0070991386,0.44344684,0.3452373
9,"She took over my telly, she took over my chair and everything else I don't like. I'm like oh, oh.",0.07484174,0.015870165,0.040190406,0.18268818,0.071301624,0.2891543,0.30890495,0.017048657
10,"And also when you've got a lot of people around you that you're not used to having around you, you're like, Oh, I have to dress, I have to brush my hair. I have to be on my best behaviour. I have to be nice to people.",0.023226066,0.030692052,0.010602163,0.78407586,0.025722746,0.101212464,0.009720523,0.014748104
11,"You take me up so hard, if you don't like it, bye bye.",0.029764717,0.004548563,0.030349256,0.016473992,0.02716742,0.009210937,0.8809715,0.0015136333
12,"But let's do it, and I work you from home like we are now, aren't we? It's just very. The only time I actually put all my work clothes is ... Now, obviously we are allowed to go out and do visits again when we were when it was totally working from home. Any time I would actually get dressed, get sort of get dressed, put in a nice top and brush my hair was when we had Zoom meetings. Otherwise, I'll be like... yeah.",0.005347791,0.0005591714,0.0077234865,0.45167628,0.043942306,0.37071103,0.11764576,0.0023941868
13,"and I keep my pyjamas on, you know it's raining what I want to get dressed for.",0.0056012804,0.00090231356,0.036814146,0.40923646,0.26456457,0.12283991,0.054626897,0.10541441
14,"Because at young age after you spend all your life trying to impress people, you become so many different people's to try to fit in, and you lose your own identity, you know, so I think, well, if you don't like me, so I'm not going to like me if I'm dressed in mine. So, yeah, you know, professional person, they're not going to like me.",0.05347716,0.003930487,0.0063701198,0.048845805,0.022296784,0.11250848,0.7500855,0.0024856646
15,So this is no surprises.,0.0018152333,0.0006990377,0.01222159,0.06725891,0.02532175,0.8196671,0.05381051,0.019205887
