,Tweet,Anger,Depression,Fatigue,Vigour,Tension,Confusion
0,You're welcome participation as well. No worries.,0.23464344,0.19788264,0.12926644,0.36243194,0.032083992,0.043691527
1,I live on my own.,0.047417875,0.91587824,0.0031092346,0.011949576,0.013919375,0.007725725
2,I live on my own too,0.011115397,0.97394025,0.0022223373,0.0015315312,0.009160819,0.0020296886
3,I live with my partner and my two cats.,0.2823122,0.5432895,0.018643785,0.009408253,0.057491563,0.08885466
4,"I live with my partner, and sadly no, no cat .",0.07537618,0.86252123,0.007418575,0.0013478545,0.0028945915,0.05044155
5,"Very important. Well, obviously I'm not at home all the time. All. It's my space. It's my home, and I can do anything I want. I don't have to please anyone.",0.5447206,0.4528598,0.0004285286,7.687734e-07,0.0011056426,0.0008846803
6,My children are always on the phone.,0.72018254,0.22830096,0.018586341,0.0022899457,0.007151186,0.023489019
7,"Yeah, that's my biggest fear. I don't have children. I don't want to be amongst other people. I want to stay inmy own home, but what happens if Rob is not there like it and I get poorly, I just die in the living room probably. Laughs..",0.011897418,0.9454832,0.00015944372,3.7750457e-08,0.0005349375,0.041924946
8,"I mean, you know, we're lucky we got intercoms posts in our flat. So if benefit was to happen, we could get straight on a medical. So my hope is that gives me confidence. What my daughter come down for 10 days before it's gone?",0.0123259695,0.0021689031,0.05705963,0.00030260926,0.9246771,0.0034658427
9,"She took over my telly, she took over my chair and everything else I don't like. I'm like oh, oh.",0.6137377,0.11894513,0.055509407,0.0009725244,0.03745474,0.1733805
10,"And also when you've got a lot of people around you that you're not used to having around you, you're like, Oh, I have to dress, I have to brush my hair. I have to be on my best behaviour. I have to be nice to people.",0.77170455,0.020493085,0.016205953,5.968701e-06,0.18883212,0.0027583179
11,"You take me up so hard, if you don't like it, bye bye.",0.62460154,0.17281784,0.015094189,0.002664308,0.0076585016,0.1771636
