,Tweet,Anger,Disgust,Fear,Joy,Sadness,Surprise,Trust,Anticipation
0,I live with a partner on one cat.,0.0050357194,0.0014666007,0.011138995,0.6618827,0.05516315,0.15826422,0.095600635,0.011447999
1,"Yeah. I don't think I'd mind because if I feel that I need help with somebody around in case something happens to be, I feel bad for somebody with. You know, if that was something someone was knocking every day or checking, if I'm OK.",0.0134901125,0.006305005,0.09558212,0.0058175456,0.04430393,0.09878245,0.72901946,0.0066993707
2,Are they?,0.05205351,0.027174156,0.22073771,0.08224152,0.02453602,0.1085204,0.44878924,0.035947435
3,I'm shaving less often.,0.019077972,0.0035412095,0.049317196,0.20454085,0.14239538,0.15778771,0.39016363,0.03317606
4,Tapioca!,0.0065959515,0.0009421608,0.024489546,0.39090273,0.010410896,0.11200658,0.43549916,0.01915297
5,"I like gardening, so I'd like green space to look after when I'm older. Feed the birds and stuff like that.",0.023700733,0.0033796863,0.029328052,0.6971827,0.021202724,0.075357884,0.12330155,0.026546676
6,"Walking, I like countryside walking.",0.010958825,0.0019085491,0.056129735,0.42537332,0.012914135,0.4018239,0.082364045,0.008527492
7,It's not that flat in Plymouth by the way.,0.020043643,0.006117068,0.013031624,0.051433,0.09788028,0.056314472,0.74996835,0.0052115787
8,I guess it's the mental distress that it causes. Isn't it ? when you can't do what you were used to  maybe ??? with life? Yeah. You know.,0.00045289157,1.6061224e-06,0.0041788174,0.98325455,0.00055639824,4.891474e-05,0.011506382,4.4985723e-07
9,"And I think it'd be quite nice. I mean, people do things for you.",0.026260113,0.0016683476,0.003072731,0.27429494,0.019448653,0.2506281,0.4199407,0.0046863966
10,"yeah, I won't mind.",0.0030739603,0.0001204943,0.007991166,0.03407118,0.011781059,0.07425206,0.86702186,0.0016882179
11,I just give them more jobs.,0.02225091,0.0025942372,0.008794515,0.34701195,0.05471017,0.048871934,0.5036358,0.012130465
12,"Yeah, I've seen it right. I enjoy a good book or good films. I just noticed reading that I really enjoy a good book or watching a good film.",0.015335275,0.0035028597,0.046535946,0.7781988,0.07741181,0.00530567,0.03909684,0.0346128
13,"Yeah, I'll make rude comment",0.02301206,0.0036705625,0.002344245,0.010852656,0.0036300884,0.044116765,0.90520346,0.007170138
14,"Yes, yes. You know, regarding the car accident, you had to.",0.013256781,0.004560912,0.035144195,0.3076303,0.010446943,0.3868899,0.2296345,0.012436461
15,A few of us mentioned walking.,0.020098299,0.002833057,0.09872429,0.55516094,0.0062451465,0.08329251,0.2309339,0.002711887
16,"Cooking is fun, isn't it? because you can look forward to eating after that.",0.0054567484,0.0016379288,0.013701424,0.06977834,0.15321594,0.08341857,0.61347514,0.05931588
17,"I think I have it for granted in a way, but it's taken away. Yeah. See if you are alone for the week.",0.0050322483,0.0005599711,0.027863095,0.045178782,0.036604326,0.19849047,0.6390569,0.047214214
18,"Well, isolation was used in prisons as a punishment, wasn't it?",0.0049975733,0.015853962,0.40959492,0.004148614,0.007167636,0.45651996,0.0993352,0.0023821306
19,Oh yeah. So you'd be locked on your own.,0.0059552393,0.0050040036,0.0040434017,0.03346793,0.010618114,0.32780984,0.61152494,0.0015765479
